time (s),w,x-axis,y-axis,z-axis,class
1661434224622.57,0.6,-0.186,-0.772,-0.095,0
1661434224638.559,0.596,-0.186,-0.775,-0.094,0
1661434224645.904,0.594,-0.186,-0.777,-0.094,0
1661434224661.058,0.595,-0.186,-0.776,-0.095,0
1661434224668.483,0.598,-0.186,-0.773,-0.096,0
1661434224675.431,0.605,-0.187,-0.767,-0.099,0
1661434224690.9849,0.616,-0.187,-0.758,-0.104,0
1661434224706.1611,0.632,-0.187,-0.744,-0.109,0
1661434224706.383,0.654,-0.186,-0.723,-0.117,0
1661434224720.663,0.683,-0.184,-0.695,-0.128,0
1661434224728.286,0.716,-0.181,-0.659,-0.141,0
1661434224735.637,0.754,-0.177,-0.613,-0.157,0
1661434224750.343,0.794,-0.171,-0.557,-0.175,0
1661434224758.6228,0.832,-0.163,-0.494,-0.194,0
1661434224765.907,0.867,-0.153,-0.425,-0.213,0
1661434224788.298,0.895,-0.143,-0.353,-0.232,0
1661434224825.722,0.917,-0.132,-0.282,-0.248,0
1661434224833.222,0.933,-0.12,-0.213,-0.263,0
1661434224833.7358,0.944,-0.108,-0.145,-0.276,0
1661434224834.751,0.949,-0.097,-0.081,-0.288,0
1661434224849.7031,0.95,-0.088,-0.02,-0.299,0
1661434224855.719,0.947,-0.079,0.037,-0.308,0
1661434224856.717,0.941,-0.071,0.092,-0.317,0
1661434224857.678,0.933,-0.064,0.145,-0.325,0
1661434224871.041,0.921,-0.057,0.196,-0.332,0
1661434224878.489,0.907,-0.052,0.244,-0.338,0
1661434224908.205,0.892,-0.047,0.29,-0.343,0
1661434224909.939,0.876,-0.042,0.331,-0.348,0
1661434224910.936,0.86,-0.038,0.368,-0.352,0
1661434224923.264,0.844,-0.033,0.401,-0.356,0
1661434224930.9138,0.828,-0.03,0.429,-0.359,0
1661434224946.295,0.814,-0.027,0.453,-0.361,0
1661434224968.591,0.801,-0.025,0.475,-0.363,0
1661434224970.23,0.788,-0.024,0.494,-0.366,0
1661434224970.23,0.776,-0.023,0.511,-0.368,0
1661434224983.846,0.766,-0.022,0.526,-0.37,0
1661434224998.153,0.756,-0.02,0.539,-0.371,0
1661434224999.151,0.747,-0.019,0.551,-0.371,0
1661434225005.483,0.74,-0.019,0.56,-0.371,0
1661434225020.4548,0.734,-0.018,0.568,-0.371,0
1661434225029.071,0.73,-0.018,0.574,-0.371,0
1661434225036.0762,0.727,-0.017,0.578,-0.37,0
1661434225059.043,0.727,-0.017,0.579,-0.369,0
1661434225060.038,0.728,-0.017,0.578,-0.368,0
1661434225066.019,0.732,-0.017,0.575,-0.366,0
1661434225081.0051,0.738,-0.018,0.568,-0.364,0
1661434225110.312,0.749,-0.019,0.556,-0.361,0
1661434225112.3062,0.763,-0.022,0.538,-0.359,0
1661434225112.3062,0.781,-0.026,0.513,-0.355,0
1661434225133.842,0.802,-0.031,0.482,-0.351,0
1661434225134.346,0.825,-0.037,0.445,-0.347,0
1661434225141.337,0.848,-0.044,0.402,-0.342,0
1661434225148.531,0.87,-0.052,0.356,-0.337,0
